nikkud,transliteration,word
קזואר,,קזואר
קָזוּס בֶּלִי,kazus beli,קזוס בלי
קָזִינוֹ,kazino,קזינו
קָזָנוֹבָה,casanova,קזנובה
קֹטֶב,kotev,קטב
קָטָבּוֹלִיזְם,katabolizm,קטבוליזם
קָטְבִּיּוּת,kotviyut,קטביות
קָטֵגוֹר,kategor,קטגור
קָטֵגוֹרְיָה {{משני|ב}},kategorya,קטגוריה
קָטֵגוֹרְיָה {{משני|א}},kategorya,קטגוריה
קִטּוּב,kituv,קטוב
קָטוּם,katum,קטום
קֶטוֹן,keton,קטון
קטיבות,,קטיבות
קַטְיוֹן,katyon,קטיון
קַטְיוּשָׁה,katyusha,קטיושה
קְטִיפָה {{משני|ב}},ktifa,קטיפה
קְטִיפָה {{משני|א}},ktifa,קטיפה
קֶטֶל,ketel,קטל
קָטָלִיזָטוֹר,,קטליזטור
קָטָלָנִית,katalanit,קטלנית
קָטָמָרָן,katamaran,קטמרן
קָטָן (גם: קָטֹן {{משני|א}}),"katan, katon",קטן
קַטְנוֹעַ,katnoa׳,קטנוע
קִטְנִית,kitnit,קטנית
קטסטרופיזם,,קטסטרופיזם
קֶטַע,keta,קטע
קָטָפּוּלְטָה,,קטפולטה
קַטָּר,katar,קטר
קֹטֶר,koter,קטר
קַטַר,katar,קטר
קֹטֶר קֶדַח הַקָּנֶה,koter kedakh hakaneh,קטר קדח הקנה
קַטְרֶגֶל,katregel,קטרגל
קָטָרַקְט,,קטרקט
קְטֹרֶת,ktoret,קטרת
קֶטְשׁוֹפְּ,ketchup,קטשופ
קִיא,ki,קיא
קָיָאק,kayak,קיאק
קיבורג,,קיבורג
קִיבִּינִימָט,kibinimat,קיבינימט
קִיבֶּרְנֶטִיקָה,,קיברנטיקה
קִיּוּט,kiyut,קיוט
קִיוִי,kivi,קיוי
קִיּוֹסְק,kiyosk,קיוסק
קִיט,kit,קיט
קַיִט,kayit,קיט
קִיטְבֶּג,kitbeg,קיטבג
קִיטוֹן,kiton,קיטון
קִיטוֹר,kitor,קיטור
קַיְטָנָה,kaytana,קיטנה
קִיטְשׁ,kitch,קיטש
קִיטְשִׁי,kitchi,קיטשי
קייזרשמרן,,קייזרשמרן
קִילוֹ וָאט,kilo vat,קילו ואט
קִילוֹ־,kilo,קילו־
קִילוֹגְרָם,kilogram,קילוגרם
קִילוֹהֶרְץ,kiloherts,קילוהרץ
קִילוֹמֶטֶר רָבוּעַ,kilometer ravua,קילומטר רבוע
קִילוֹן,kilon,קילון
קִילוֹקָלוֹרְיָה,,קילוקלוריה
קַיָּם,kayam,קים
קִימוֹנוֹ,kimono,קימונו
קַיָּן,kayan,קין
קִינָה,kina,קינה
קִינוֹף,Kinof,קינוף
קִינָז,,קינז
קינטוסקופ,,קינטוסקופ
קִינֶטִיקָה אֶנְזִימָטִית,kinetika enzimatit,קינטיקה אנזימטית
קִינֵמָטִיקָה,kinematika,קינמטיקה
קֵיסָם,keisam,קיסם
קֵיסָם שִׁנַּיִם,kisam shinayim,קיסם שנים
קֵיסָר,keysar,קיסר
קַיִץ,kayits,קיץ
קיצונאי,,קיצונאי
קֵיצִי,kaitsi,קיצי
קִיקבּוֹקְס,,קיקבוקס
קִיקְלוֹפּ,,קיקלופ
קִיר,kir,קיר
קִיר חִיצוֹנִי,kir khitsoni,קיר חיצוני
קיראס,,קיראס
קירי,,קירי
קיריארכיה,,קיריארכיה
קִישׁ,kish,קיש
קִיתוֹן,kiton,קיתון
קַל {{משני|א}},kal,קל
קַל רַגְלַיִם,kal raglaim,קל רגלים
קלאב פוט,,קלאב פוט
קְלָאוִיקוֹרְד,klavikord,קלאויקורד
קְלָאוּסְטְרוֹפוֹבְּיָה,,קלאוסטרופוביה
קְלָאץ',klach,קלאץ'
קָלָבּוּשׁ,kalabush,קלבוש
קַלְגַּס,kalgas,קלגס
קלדוגנזה,,קלדוגנזה
קַלְדָן,kaldan,קלדן
קְלוּבְקָרִין,kluvkarin,קלובקרין
קָלוֹן,kalon,קלון
קִלּוּף עוֹר,,קלוף עור
קָלוֹרְיָה,kalorya,קלוריה
קלורימטר,,קלורימטר
קָלוֹרִימֶטְרִיָּה,,קלורימטריה
קָלוּשׁ,kalush,קלוש
קֶלַח,kelakh,קלח
קַלַּחַת,kalakhat,קלחת
קֶלֶט,kelet,קלט
קַלֶּטֶת,kaletet,קלטת
קַלֶּטֶת וִידֵאוֹ,kaletet vide'o,קלטת וידאו
קָלִיבֵּר,kaliber,קליבר
קָלִיגְרָף,kaligraf,קליגרף
קָלִיגְרָפִי,kaligrafi,קליגרפי
קָלִיגְרַפְיָה,kaligrafya,קליגרפיה
קְלִיד,klid,קליד
קָלֵידוֹסְקוֹפּ,kaleydoskop,קלידוסקופ
קְלִיָּה,kliya,קליה
קַלְיוּם פֶּרְמַנְגָּנָט,,קליום פרמנגנט
קְלִיטִי,kliti,קליטי
קְלִילוּת (גם: קַלִּילוּת),klilut או kalilut,קלילות
קְלִימוֹגְרָף,,קלימוגרף
קְלִימָטוֹלוֹגְיָה,klimatologya,קלימטולוגיה
קְלִינְטֶק,,קלינטק
קְלִינִי,klini,קליני
קְלִינִיקָה,klinika,קליניקה
קָלִיעַ,kalia,קליע
קָלִיפוֹרְנְיוּם,kalifornuom,קליפורניום
קְלִיפֶּר,kliper,קליפר
קְלִיק,klik,קליק
קְלִישָׁאָה,klisha'a,קלישאה
קְלָלָה,klala,קללה
קֻלְמוֹס,kulmos,קלמוס
קַלְמִית,kalmit,קלמית
קְלֵמֶנְטִינָה,klementina,קלמנטינה
קַלְמָר,kalmar,קלמר
קַלְנוֹעִית,kalnoit,קלנועית
קֶלֶס,keles,קלס
קְלָס,klas,קלס
קְלָסֶר,klaser,קלסר
קְלַסְתֵּרוֹן,klasteron,קלסתרון
קֶלַע {{משני|ב}},kela,קלע
קֶלַע {{משני|א}},kela,קלע
קַלָּע,kala,קלע
קְלָף,klaf,קלף
קְלָף מִשְׂחָק,klaf miskhak,קלף משחק
קְלִפָּה,klipa,קלפה
קְלַפְטֶה,klafte,קלפטה
"קַלְפִּי, קַלְפֵּי","kalpi (בלשון הדיבור: kalpi),<br>kalpe",קלפי
קַלְפָן,kalfan,קלפן
קְלִפַּת הַמּוֹחַ,,קלפת המוח
קַלְצִיט,kalttsit,קלציט
קְלַרְנִית,clarniet,קלרנית
קְלַרְנִיתָן,,קלרניתן
"קִלְשׁוֹן, קִלְּשׁוֹן",kilshon,קלשון
קֶלֶת,kelet,קלת
קָם {{משני|א}},kam,קם
קַמָּא,kama,קמא
קַמָּאִי,,קמאי
קֶמָארִי,kemari,קמארי
קַמְבְּרִיּוֹן,kambriyon,קמבריון
קָמָה,kama,קמה
קֶמַח,kemakh,קמח
קֶמַח מַצָּה,kemakh matsa,קמח מצה
קָמְטָר,kamtar,קמטר
קָמִין,kamin,קמין
קְמִיצָה,kmitsa,קמיצה
קמל,,קמל
קָמֶמְבֶּר,kamember,קממבר
קָמֵעַ,kame'a,קמע
קִמְעָה <sub>גם</sub> קִמְעָא,kem׳a,קמעה
קִמְעָה קִמְעָה,,קמעה קמעה
קִמְעוֹנָאוּת <sub>גם</sub> קִמְעוֹנוּת,kim'onaut,קמעונאות
קִמְעוֹנִי,kim'oni,קמעוני
קַמְפּוּס,kampus,קמפוס
קֶמְפִּינְג,kamping,קמפינג
קִמְפְּלוּקְס,kimpluks,קמפלוקס
קָמָץ (גם: קָמֵץ),kamats,קמץ
קָמָץ גָּדוֹל,kamtsh gadol,קמץ גדול
קָמָץ קָטָן,kamats katan,קמץ קטן
קמרה אובסקורה,,קמרה אובסקורה
קִמְרוֹן,kimrun,קמרון
קֵן,ken,קן
קַן הַעוֹרֵב,kan ha׳orev,קן העורב
קַן הַצּוֹפֶה,kan hatsofeh,קן הצופה
קֵן נְמָלִים,ken nemalim,קן נמלים
קַנָּא,Kana,קנא
קִנְאָה,kin'a,קנאה
קָנַבּוֹס,kanabos,קנבוס
קֶנְגּוּרוּ,kenguru,קנגורו
קָנָדָה,kanada,קנדה
קַנְדֵלָה,,קנדלה
קָנֶה,kane,קנה
קְנֵה הַחַרְטוֹם,kne hakhartom,קנה החרטום
קְנֵה הַנְּשִׁימָה,kne haneshima,קנה הנשימה
קָנוּ,kanu,קנו
קְנוֹזוֹאִיקוֹן,knozo'ikon,קנוזואיקון
קִנּוּחַ,kinuakh,קנוח
קָנוֹלָה,,קנולה
קָנוֹלִי,,קנולי
קְנוּנִיָה,knuniya,קנוניה
קְנוֹקֶנֶת,knokenet,קנוקנת
קַנְטָטָה,,קנטטה
קַנְטִינָה,,קנטינה
קָנִיבָּלִיזְם,kanibalizm,קניבליזם
קְנֵידָלֶה,kneidale,קנידלה
קַנְיוֹן,kanyon,קניון
קַנְיוֹן,kanyon,קניון
קְנִישׁ,,קניש
קִנָּמוֹן,kinamon,קנמון
קְנָס,knas,קנס
קַנַפָּט,kanapat,קנפט
קַנְקַן,kankan,קנקן
קַסְדָּה,kasda,קסדה
קָסוֹקֶר,kasoker,קסוקר
קָסֶטָה,kaseta,קסטה
קָסָטָה,kasata,קסטה
קָסְטָה,kasta,קסטה
קַסְטְרָטוֹ,,קסטרטו
קְסִילוֹפוֹן,ksilofon,קסילופון
קֶסֶם,kesem,קסם
קֶסֶם אִישִׁי,kesem ishi,קסם אישי
קֶסֶם קְלָפִים,kesem klafim,קסם קלפים
קסנוטורבלה,ksenoturbela,קסנוטורבלה
קְסֶנוֹן,xanon,קסנון
קְסֶנוֹפוֹבְּיָה,ksenofobya,קסנופוביה
קַסְקֶט,kasket,קסקט
קְסַרְקְטִין,kesarketin,קסרקטין
קֶסֶת,keset,קסת
קֹעַר,koar,קער
קְעָרָה,ke'ara,קערה
קַעֲרִית,ka'arit,קערית
קִפָּאוֹן,kipaon,קפאון
קֻפַּאי,kupai,קפאי
קָפֶאִין,kafein,קפאין
קֻפָּד,kupad,קפד
קֻפָּה,kupa,קפה
קָפֶה,kafe,קפה
קָפֶה טוּרְקִי,kafe turki,קפה טורקי
קפואירה,kapuera,קפואירה
קִפּוֹד,qipod,קפוד
קִפּוּחַ,kipuakh,קפוח
קָפּוֹטָה,kapota,קפוטה
קִפּוּל,kipul,קפול
קַפּוּצ'וֹן,kapuchon,קפוצ'ון
קָפּוֹצִ'ינּוֹ,kapochino,קפוצ'ינו
קִפֵּחַ,kipeakh,קפח
קַפִּיבָּרָה,kapibara,קפיברה
קָפִּיטָלִיזְם,kapitalizm,קפיטליזם
קַפִּיטָלִיזְם חֲזִירִי,kapitalizm khaziri,קפיטליזם חזירי
קָפִּיטָלִיסְט,kapitalist,קפיטליסט
קָפֵטֶרְיָה,kafeterya,קפיטריה
קפילריות,,קפילריות
קְפִיץ,kfitz,קפיץ
קְפִיצָה {{משני|א}},kfitsa,קפיצה
קְפִיצָה לַגֹּבַהּ,kfitsa lagova,קפיצה לגבה
קְפִיצָה לָרֹחַק,kfitsa larokakh,קפיצה לרחק
קְפִיצַת דֶּרֶךְ,kfitsat derekh,קפיצת דרך
קַפְלֵט,kaflet,קפלט
קָפָּנְדָּרִיָה,kapandariya,קפנדריה
קפסאיצין,,קפסאיצין
קֻפְסָה,kufsa,קפסה
קֻפְסָה שְׁחֹרָה,kufsa shekhora,קפסה שחרה
קוּפְסַת גַּפְרוּרִים,kofsat gafrurim,קפסת גפרורים
קַפֶּצֶת,kapetset,קפצת
קַפְּרִיזָה,kapriza,קפריזה
קַפְּרִיצ'וֹ,kapricho,קפריצ'ו
קֻפַּת גֶּמֶל,kupat gemel,קפת גמל
קֻפַּת חִסָּכוֹן,,קפת חסכון
קצאל,ketzal,קצאל
קַצָּב,katzav,קצב
קֶצַח,ketsakh,קצח
קָצִין,katsin,קצין
קְצִין דֶּגֶל,ktsin degel,קצין דגל
קְצִין סִפּוּן,ktsin sipun,קצין ספון
קְצִיץ בָּשָׂר,ktsits basar,קציץ בשר
קְצִיצָה,ktsytsa,קציצה
קָצִיר,katsir,קציר
קֶצֶף,ketsef,קצף
קַצֶּפֶת,katsefet,קצפת
קַצָּץ,Katsats,קצץ
קֶצֶץ,Ketsets,קצץ
קִצֵּץ בִּנְטִיעוֹת,kitsets binetioot,קצץ בנטיעות
קָצָר (גם: קָצֵר),katsar,קצר
קְצַרְדָּשׁ,ktsardash,קצרדש
קְצַרְמָר,ktsarmar,קצרמר
קַצְרָנוּת,katsranut,קצרנות
קָקָאוֹ,kakao,קקאו
קָקָדוּ,kakadu,קקדו
קַקְטוּס,kaktus,קקטוס
קִקָיוֹן,kikayon,קקיון
קִקְיוֹנִי,kikyoni,קקיוני
קַר,kar,קר
קֹר כְּלָבִים,kor klavim,קר כלבים
קַר מֶזֶג,kar mezeg,קר מזג
קראטון,,קראטון
קֻרְאָן,kuran,קראן
קְרָב,krav,קרב
קֶרֶב,kerev,קרב
קְרַב מַגָּע,krav maga,קרב מגע
קרבאניון,,קרבאניון
קרבון,,קרבון
קַרְבּוֹן מִיסִיסִיפִּי,karbon misisipi,קרבון מיסיסיפי
קַרְבּוֹן פֶּנְסִילְבֶנִי,kar''bon'' fansilbeni,קרבון פנסילבני
קרבונט,,קרבונט
קרבוניל,,קרבוניל
קרבוקטיון,,קרבוקטיון
קַרְבּוּרָטוֹר,karburator,קרבורטור
קרבין,,קרבין
קָרְבָּן (גם: קֻרְבָּן),korban,קרבן
קָרְבָּן חַטָּאת,korban khatat,קרבן חטאת
קָרְבָּן פֶּסַח,korban pesakh,קרבן פסח
קָרְבָּן תּוֹדָה,korban toda,קרבן תודה
קַרְדִּיגָן,kardigan,קרדיגן
קַרְדְּיוֹלוֹגְיָה,kardyologya,קרדיולוגיה
קְרֶדִיט,kredit,קרדיט
קַרְדִּינָלִי,kardinali,קרדינלי
קַרְדִּית,kardit,קרדית
קַרְדֹּם,kardom,קרדם
קְרוֹאַטְיָה,,קרואטיה
קְרוּאָסוֹן,kroason,קרואסון
קָרוֹב,karov,קרוב
קֵרוּב,keruv,קרוב
קֵרוּב לִינֵאָרִי,keruv linari,קרוב לינארי
קֵרוּד,kerud,קרוד
קְרוּז,kruz,קרוז
קְרוּטוֹן,,קרוטון
קרוטנואיד,,קרוטנואיד
קָרַוֶּל,karavel,קרול
קָרַוֶּלָה,karavela,קרולה
קְרוּם,krum,קרום
קְרוּם בְּתוּלִים,krum betulim,קרום בתולים
קְרוּם הַבְּתוּלִים,krum habetulim,קרום הבתולים
קְרוּם הַמּוֹחַ,krum hamoakh,קרום המוח
קַרָוָן,,קרון
קָרוֹן,karon,קרון
קרונוזאור,,קרונוזאור
קְרוֹנוֹעַ,kronoa,קרונוע
קְרוֹקוֹדִיל,krokodil,קרוקודיל
קֶרַח,kerakh,קרח
קֵרֵחַ,kere'akh,קרח
קֶרַח יָבֵשׁ,kerakh yavesh,קרח יבש
קֵרֵחַ מִכָּאן וּמִכָּאן,kere'akh mikan umikan,קרח מכאן ומכאן
קַרְחוֹן,karkhon,קרחון
קַרְחוֹן יַבַּשְׁתִּי,karkhon yabashti,קרחון יבשתי
קַרְחוֹן יַמִּי,karkhon yami,קרחון ימי
קָרָחָנָה,karakhana,קרחנה
קָרַחַת,karachat,קרחת
קֹרֶט,koret,קרט
קָרָט,karat,קרט
קָרְטוֹב,kurtov,קרטוב
קַרְטוֹגְרַפְיָה,katogrhfya,קרטוגרפיה
קַרְטוֹן,karton,קרטון
קרטוקונוס,,קרטוקונוס
קַרְטִיב,kartiv,קרטיב
קְרֵטִיקוֹן,kretikon,קרטיקון
קַרְטֶל,cartel,קרטל
קַרְטֶר,karter,קרטר
קְרִי {{משני|א}},kri,קרי
קְרִי {{משני|ב}},kri,קרי
קְרִי {{משני|ג}},kri,קרי
קְרִיאָה,"kri'a, keri'a",קריאה
קְרִיאַת שְׁמָע,kriat shma',קריאת שמע
קִרְיָה,kirya,קריה
קְרִיוֹבִּיּוֹלוֹגְיָה,kriyobiologyah,קריוביולוגיה
קָריוֹטִיפּ,,קריוטיפ
קְרִיוֹנִיקָה,krionika,קריוניקה
קריוספירה,,קריוספירה
קְרִיּוֹפִיל,kriyofil,קריופיל
קַרְיוֹקִי,karayoki,קריוקי
קְרִיזָה,kriza,קריזה
קְרִיטִי,kriti,קריטי
קְרִימִינוֹלוֹגְיָה,,קרימינולוגיה
קְרִינָה,,קרינה
קְרִינָה אֶלֶקְטְרוֹמַגְנֵטִית,krina electromagnetit,קרינה אלקטרומגנטית
קרינה בלתי מייננת,,קרינה בלתי מייננת
קְרִינָה מְיַנֶּנֶת,,קרינה מייננת
קְרִינָה קוֹסְמִית,krina kosmit,קרינה קוסמית
קְרִינָה רַדְיוֹאַקְטִיבִית,krina radyo'aktivit,קרינה רדיואקטיבית
קְרִינַת חֹם,krinat khom,קרינת חם
קְרִיסְטָל,,קריסטל
קְרִיסְטָלוֹגְרַפְיָה,kristalografhya,קריסטלוגרפיה
קְרִיעַת יַם סוּף,kri׳at yam suf,קריעת ים סוף
קְרִיפְּטוֹבִּיּוֹזָה,,קריפטוביוזה
קְרִיפְּטוֹגְרַפְיָה,,קריפטוגרפיה
קְרִיפְּטוֹזוֹאוֹלוֹגְיָה,kriptozo'ologya,קריפטוזואולוגיה
קריפטוכרום,,קריפטוכרום
קְרִיפְּטוֹן,kripton,קריפטון
קְרִיצָה,kritsa,קריצה
קְרִישׁ דָּם,karish dam,קריש דם
קִרְיַת שְׁמוֹנָה,kiryat shmona,קרית שמונה
קרל,,קרל
קְרֵם,krem,קרם
קְרֶם אַנְגְּלִי,krem angli,קרם אנגלי
קְרֶם הֲגָנָה,,קרם הגנה
קְרֶם קָרָמֶל,,קרם קרמל
קְרֶם שְׁנִיט,,קרם שניט
קְרֶמְבּוֹ,krembo,קרמבו
קְרַמְבֶּל,krambel,קרמבל
קֶרָמיקָה,keramika,קרמיקה
קָרָמֶל,,קרמל
קֶרֶן {{משני|ב}},keren,קרן
קֶרֶן {{משני|א}},keren,קרן
קֶרֶן אֲבַק שְׂרֵפָה,keren avak srefah,קרן אבק שרפה
קֶרֶן הִשְׁתַּלְּמוּת,keren hishtalmut,קרן השתלמות
קֶרֶן יַעַר,keren ya'r,קרן יער
קַרְנוּן,karnun,קרנון
"קַרְנָזוֹל, קַרְנְזוֹל",karnezol,קרנזול
קַרְנִיז,karniz,קרניז
קַרְנִיזם,karnizem,קרניזם
קַרְנִיסְט,karnist,קרניסט
קַרְנִית,karnit,קרנית
קַרְנִית חרוטית,,קרנית חרוטית
קַרְנָן,karnan,קרנן
קַרְנַף,karnaf,קרנף
קֶרֶס,keres,קרס
קֶרֶס,keres,קרס
קִרְסוּם,kirsoom,קרסום
קַרְסְט,,קרסט
קַרְסֹל,karsol,קרסל
קרעפלאך (וגם:קרעפלעך),,קרעפלאך
קְרֶפּ,,קרפ
קַרְפִּיּוֹן,karpiyon,קרפיון
קַרְפִּיף (גם: קַרְפֵּף),"karpif, Karpef",קרפיף
קַרְפָּצ'וֹ,,קרפצ'ו
קַרְצִיָּה,kartsiya,קרציה
קרצינומה,,קרצינומה
קֻרְקְבָן,,קרקבן
קרקוף,,קרקוף
קִרְקוּר בֶּטֶן,kirkur betan,קרקור בטן
קִרְקָס,kirkas,קרקס
קִרְקָס קַרְחוֹנִי,kirkas karkoni,קרקס קרחוני
קַרְקַע,karka,קרקע
קַרְקַע הַאֳנִיָּה,karka haoniyah,קרקע האניה
קַרְקַע הַסְפִינָה,karka hasfinah,קרקע הספינה
קְרֶקֶר,kreker,קרקר
קַרְקָשׁ,karkash,קרקש
קַרְקָשׁ,karkash,קרקש
קֶרֶשׁ {{משני|ב}},,קרש
קֶרֶשׁ {{משני|א}},keresh,קרש
קֶרֶש הַצָּלָה,keresh hatsalah,קרש הצלה
קֶרֶשׁ חִתּוּךְ,keresh khitukh,קרש חתוך
קְרֶשֶׁנְדּוֹ,kreshendo,קרשנדו
קֶרֶת,keret,קרת
קַרְתָּנוּת,kartanut,קרתנות
קָשֶׁה,kashe,קשה
קִשּׁוּא,kishu,קשוא
קַשְׂוָה,kasva,קשוה
קָשׁוּט,kashut,קשוט
קִשּׁוּט,kishut,קשוט
קִשּׁוּט מֻעָט,kishut muat,קשוט מעט
קִשּׁוּט רַב,kishut rav,קשוט רב
קִשּׁוּר,kishur,קשור
קָשׁוּר {{משני|ב}},,קשור
קָשׁוּר {{משני|א}},,קשור
קָשְׁחָה,,קשחה
קִשֵּׁט בִּדְגָלִים,kishet bidgalim,קשט בדגלים
קֹשִׁי,koshi,קשי
קַשְׁיוּת,kashyut,קשיות
קְשִׁירָה,kshira,קשירה
קָשִׁישׁ,kashish,קשיש
קָשְמִיר,kashmir,קשמיר
קַשְׁקְשָׁן,kashkeshan,קשקשן
קַשְׂקֶשֶׂת,kaskeset,קשקשת
קַשָּׁר,kashar,קשר
קֶשֶׁר,kesher,קשר
קֶשֶׁר אוֹרְגִים,kesher orgim,קשר אורגים
קֶשֶׁר אֲנָךְ,kesher anakh,קשר אנך
קֶשֶׁר אֶצְבַּע,kesher etsba,קשר אצבע
קֶשֶׁר בֹּהֶן,kesher bohen,קשר בהן
קֶשֶׁר בֹּהֶן חָלִיץ,kesher bohen khalits,קשר בהן חליץ
קֶשֶׁר בֹּהֶן כָּפוּל,kesher bohen kaful,קשר בהן כפול
קֶשֶׁר בֹּהֶן מְהִיר הַתָּרָה,kesher bohen mehir hatarah,קשר בהן מהיר התרה
קֶשֶׁר דַּיָּגִים,kesher dayagim,קשר דיגים
קֶשֶׁר דַּיָּגִים כָּפוּל,kesher dayagim kaful,קשר דיגים כפול
קשר דלתא,,קשר דלתא
קֶשֶׁר דָּם,kesher dam,קשר דם
קֶשֶׁר הַצָּלָה,kesher hatsalah,קשר הצלה
קֶשֶׁר הַצָּלָה כָּפוּל,kesher hatsalah kaful,קשר הצלה כפול
קֶשֶׁר הַשְׁחָלָה,kesher hashkhalah,קשר השחלה
קֶשֶׁר חוּטֵי חֶבֶל,kesher khutey khevel,קשר חוטי חבל
קֶשֶׁר חַכָּה,kesher khakah,קשר חכה
קֶשֶׁר חָלִיץ,kesher khalits,קשר חליץ
קֶשֶׁר כִּימִי,kesher khimi,קשר כימי
קֶשֶׁר מְהִיר הַתָּרָה,kesher mehir hatarah,קשר מהיר התרה
קֶשֶׁר מוֹט,kesher mot,קשר מוט
קֶשֶׁר מַיִם,kesher mayim,קשר מים
קֶשֶׁר מֵימָן,kesher mayman,קשר מימן
קֶשֶׁר מְרֻבָּע,kesher meruba,קשר מרבע
קֶשֶׁר מְשֻׁתָּף,kesher meshutaf,קשר משתף
קֶשֶׁר סָבְתָא,kesher savta,קשר סבתא
קֶשֶׁר עֲצִירָה,kesher atsirah,קשר עצירה
קֶשֶׁר עֶצֶר,kesher etser,קשר עצר
קשר פפטידי,,קשר פפטידי
קֶשֶׁר צוֹלֵב,kesher tsolev,קשר צולב
קֶשֶׁר קוֹוָלֶנְטִי,kesher kovalenti,קשר קוולנטי
קֶשֶׁר קוֹלָר,kesher kolar,קשר קולר
קֶשֶׁר רֹאשׁ הַתֹּרֶן,kesher rosh hatoren,קשר ראש התרן
קֶשֶׁר רֹאשׁ טוּרְקִי,kesher rosh turki,קשר ראש טורקי
קֶשֶׁר שָׁטוּחַ,kesher shatuakh,קשר שטוח
קֶשֶׁר שָׁטוּחַ חָלִיץ,kesher shatuakh khalits,קשר שטוח חליץ
קֶשֶׁר שָׁטוּחַ מְהִיר הַתָּרָה,kesher shatuakh mehir hatarah,קשר שטוח מהיר התרה
קֶשֶׁר שְׁמוֹנֶה,kesher shemoneh,קשר שמונה
קֶשֶׁר שְׁמוֹנֶה כָּפוּל,kesher shemoneh kaful,קשר שמונה כפול
קֶשֶׁר שְׁמִיעָה,kesher shmi'a,קשר שמיעה
קֶשֶׁר שַׁרְשָׁה,kesher sharshah,קשר שרשה
קֶשֶׁר שַׁרְשֶׁרֶת,kesher sharsheret,קשר שרשרת
קֶשֶׁת,keshet,קשת
קַשָּׁת,kashat,קשת
קֶשֶׁת בְּעָנָן,keshet be'anan,קשת בענן
קַשְׁתִּית {{משני|ב}},kashtit,קשתית
קַשְׁתִּית {{משני|א}},kashtit,קשתית
קַת,kat,קת
קָתֶדְרָה,katedra,קתדרה
קָתוֹדָה,katoda,קתודה
קָתוֹלִי,katoli,קתולי
קתנותאיזם,,קתנותאיזם
קָתֶקְסִיס,kateksis,קתקסיס
קָתַרְזִיס,katarzis,קתרזיס
רֵאָה,rea,ראה
רְאוּבֵן,reuven,ראובן
רַאוּטֶר,rauter,ראוטר
ראולוגיה,,ראולוגיה
רֵאָיוֹן אִישִׁי,re'ayon ishi,ראיון אישי
רֵאָיוֹן עֲבוֹדָה,re'ayon avoda,ראיון עבודה
רְאִינוֹעַ,,ראינוע
רְאֵם,reem,ראם
רַאס בֵּן אַמּוֹ,ras ben ammo,ראס בן אמו
ראקוניים,,ראקוניים
רֵאַקְצְיָה,,ראקציה
רֹאשׁ {{משני|א}},rosh,ראש
רֹאשׁ {{משני|ב}},rosh,ראש
רֹאשׁ בִּיּוּת,rosh biyut,ראש ביות
רֹאשׁ גָּדוֹל,rosh gadol,ראש גדול
רֹאשׁ הָאוֹפּוֹזִיצְיָה,,ראש האופוזיציה
רֹאשׁ הַגּוֹלָה,rosh hagola,ראש הגולה
רֹאשׁ הַמַּטֶּה הַכְּלָלִי,,ראש המטה הכללי
רֹאשׁ הַשָּׁנָה,rosh hashana,ראש השנה
רֹאשׁ הַתֹּרֶן,rosh hatoren,ראש התרן
רֹאשׁ חִבֵּל,rosh khibel,ראש חבל
ראשׁ חֹדֶשׁ,rosh khodesh,ראש חדש
רֹאשׁ מוֹעָצָה,rosh moatsa,ראש מועצה
רֹאשׁ מֶמְשָׁלָה,rosh memshala,ראש ממשלה
רֹאשׁ נֶפֶץ,rosh nefetz,ראש נפץ
רֹאשׁ עִיר,rosh ir,ראש עיר
יֵש לוֹ רֹאש עַל הַכְּתֵפַיִם,rosh al ha'ktefa'im,ראש על הכתפים
רֹאשׁ צְלָב,rosh tslav,ראש צלב
רֹאשׁ קָטָן,rosh katan,ראש קטן
רֹאשׁ קְרָב,rosh krav,ראש קרב
רָאשֵׁי תֵּבוֹת,rashey teivot,ראשי תבות
רֵאשִׁית,reshit,ראשית
רׂאשָׁן,roshan,ראשן
רֵאַת בַּרְזֶל,,ראת ברזל
רַב {{משני|ד}},rav,רב
רַב {{משני|א}},rav,רב
רֹב,rov,רב
רַב {{משני|ב}},rav,רב
רַב חוֹבֵל,rav khovel,רב חובל
רַב חוֹבְלִים,rav khovlim,רב חובלים
רַב חַתְרִית,rav khatrit,רב חתרית
רב מַלָּח,rav malakh,רב מלח
רַב מַלָּחִים,rav malakhim,רב מלחים
רַב מְשַׁמְּנִים,rav meshamnim,רב משמנים
רַב נַגָּן,rav nagan,רב נגן
רַב סֻכָּר,rav sukar,רב סכר
רַב סַמָּל,rav samal,רב סמל
רַב סַפָּן,rav sapan,רב ספן
רֹב פָּשׁוּט,rov pashut,רב פשוט
רַב רֶגֶל,rav regel,רב רגל
רַב שִׂיחַ,,רב שיח
רַב־,rav-,רב־
רְבָב,,רבב
רְבָבָה,revava,רבבה
רִבָּה,riba,רבה
רִבּוּד,ribud,רבוד
רִבּוּי טִבְעִי,,רבוי טבעי
רֶבּוּס,rebus,רבוס
רִבּוּעַ,ribu'a,רבוע
רִבּוּעַ קֶסֶם,ribua kesem,רבוע קסם
רִבּוּץ,,רבוץ
רְבִיָּה אַל זְוִיגִית,revaya al zvigit,רביה אל זויגית
רְבִיָּה אַל מִינִית,revaya al minit,רביה אל מינית
רַבְיוֹלִי,,רביולי
רְבִיכָה,,רביכה
רְבִיעוֹן,revi'on,רביעון
רִבִּית,ribit,רבית
רְבִיַּת בְּתוּלִים,revayat betulim,רבית בתולים
